sentence,entity_name,entity_type,date,year,month,day,decade,is_test
"— On parle de fonder deux facultés de sciences politiques , l ' une à Berne , l ' autre à Genève ou à Lausanne , afin de donner ainsi aux aspirants au service fédéral , l ' occasion d ' acquérir les connaissances qui leur sont nécessaires",Berne,loc,1888-01-09,1888,1,9,1880,False
"— On parle de fonder deux facultés de sciences politiques , l ' une à Berne , l ' autre à Genève ou à Lausanne , afin de donner ainsi aux aspirants au service fédéral , l ' occasion d ' acquérir les connaissances qui leur sont nécessaires",Genève,loc,1888-01-09,1888,1,9,1880,False
"— On parle de fonder deux facultés de sciences politiques , l ' une à Berne , l ' autre à Genève ou à Lausanne , afin de donner ainsi aux aspirants au service fédéral , l ' occasion d ' acquérir les connaissances qui leur sont nécessaires",Lausanne,loc,1888-01-09,1888,1,9,1880,False
"— Le conseil supérieur des travaux publics , à Rome , a approuvé la construction d ' une voie ferrée Ortafrontière suisse ( Brissago ) par la rive droite du lac Majeur , soit par Pallanza , Intra et Canobbio",Rome,loc,1888-01-09,1888,1,9,1880,False
"— Le conseil supérieur des travaux publics , à Rome , a approuvé la construction d ' une voie ferrée Ortafrontière suisse ( Brissago ) par la rive droite du lac Majeur , soit par Pallanza , Intra et Canobbio",Ortafrontière,loc,1888-01-09,1888,1,9,1880,False
"— Le conseil supérieur des travaux publics , à Rome , a approuvé la construction d ' une voie ferrée Ortafrontière suisse ( Brissago ) par la rive droite du lac Majeur , soit par Pallanza , Intra et Canobbio",Brissago,loc,1888-01-09,1888,1,9,1880,False
"— Le conseil supérieur des travaux publics , à Rome , a approuvé la construction d ' une voie ferrée Ortafrontière suisse ( Brissago ) par la rive droite du lac Majeur , soit par Pallanza , Intra et Canobbio",lac Majeur,loc,1888-01-09,1888,1,9,1880,False
"— Le conseil supérieur des travaux publics , à Rome , a approuvé la construction d ' une voie ferrée Ortafrontière suisse ( Brissago ) par la rive droite du lac Majeur , soit par Pallanza , Intra et Canobbio",Pallanza,loc,1888-01-09,1888,1,9,1880,False
"— Le conseil supérieur des travaux publics , à Rome , a approuvé la construction d ' une voie ferrée Ortafrontière suisse ( Brissago ) par la rive droite du lac Majeur , soit par Pallanza , Intra et Canobbio",Intra,loc,1888-01-09,1888,1,9,1880,False
"— Le conseil supérieur des travaux publics , à Rome , a approuvé la construction d ' une voie ferrée Ortafrontière suisse ( Brissago ) par la rive droite du lac Majeur , soit par Pallanza , Intra et Canobbio",Canobbio,loc,1888-01-09,1888,1,9,1880,False
"— Un nouveau journal paraît à Fribourg , c ' est le Messager qui s ' occupera uniquement de questions intéressant les diverses branches de l ' industrie agricole",Fribourg,loc,1888-01-09,1888,1,9,1880,False
"— La taxe des télégrammes ordinaires échangés directement entre la France et la Suisse est désormais fixée uniformément et par mot à quinze centimes ( 15 centimes ) pour la correspondance générale , et à dix centimes ( 10 centimes ) pour toutes les correspondances échangées entre un bureau quelconque de l ' un des cantons suisses situés sur la frontière de la France et un bureau quelconque d ' un département français limitrophe de ce même canton , le territoire de Belfort étant traité comme un département",France,loc,1888-01-09,1888,1,9,1880,False
"— La taxe des télégrammes ordinaires échangés directement entre la France et la Suisse est désormais fixée uniformément et par mot à quinze centimes ( 15 centimes ) pour la correspondance générale , et à dix centimes ( 10 centimes ) pour toutes les correspondances échangées entre un bureau quelconque de l ' un des cantons suisses situés sur la frontière de la France et un bureau quelconque d ' un département français limitrophe de ce même canton , le territoire de Belfort étant traité comme un département",Suisse,loc,1888-01-09,1888,1,9,1880,False
"— La taxe des télégrammes ordinaires échangés directement entre la France et la Suisse est désormais fixée uniformément et par mot à quinze centimes ( 15 centimes ) pour la correspondance générale , et à dix centimes ( 10 centimes ) pour toutes les correspondances échangées entre un bureau quelconque de l ' un des cantons suisses situés sur la frontière de la France et un bureau quelconque d ' un département français limitrophe de ce même canton , le territoire de Belfort étant traité comme un département",France,loc,1888-01-09,1888,1,9,1880,False
"— La taxe des télégrammes ordinaires échangés directement entre la France et la Suisse est désormais fixée uniformément et par mot à quinze centimes ( 15 centimes ) pour la correspondance générale , et à dix centimes ( 10 centimes ) pour toutes les correspondances échangées entre un bureau quelconque de l ' un des cantons suisses situés sur la frontière de la France et un bureau quelconque d ' un département français limitrophe de ce même canton , le territoire de Belfort étant traité comme un département",Belfort,loc,1888-01-09,1888,1,9,1880,False
